,text,sentiment,value
0,I responded I going,neutral,0
1,Sooo SAD I miss San Diego,negative,-1
2,boss bullying ...,negative,-1
3,interview leave alone,negative,-1
4,Sons put releases already bought,negative,-1
5,http //www.dothebouncy.com/smf shameless plugging best Rangers forum earth,neutral,0
6,2am feedings baby fun smiles coos,positive,1
7,Soooo high,neutral,0
8,Both,neutral,0
9,Journey Wow ... u became cooler hehe ... possible,positive,1
10,much love hopeful reckon chances minimal =P never gon na get cake stuff,neutral,0
11,I really really like song Love Story Taylor Swift,positive,1
12,My Sharpie running DANGERously low ink,negative,-1
13,want go music tonight lost voice,negative,-1
14,test test LG enV2,neutral,0
15,Uh oh I sunburned,negative,-1
16,S ok trying plot alternatives speak sigh,negative,-1
17,sick past days thus hair looks wierd didnt hat would look ... http //tinyurl.com/mnf4kw,negative,-1
18,back home gon na miss every one,negative,-1
19,Hes,neutral,0
20,oh Marly I sorry I hope find soon 3 3,neutral,0
21,Playing Ghost Online really interesting The new updates Kirin pet Metamorph third job Can wait dragon pet,positive,1
22,cleaning house family comming later today ..,neutral,0
23,got ta restart computer .. I thought Win7 supposed put end constant rebootiness,neutral,0
24,SEe waT I Mean bOuT FoLL0w fRiiDaYs ... It S cALLed LoSe f0LloWeRs FridAy ... smH,neutral,0
25,free fillin app ipod fun im addicted,positive,1
26,I sorry,negative,-1
27,On way Malaysia ... internet access Twit,negative,-1
28,juss came backk Berkeleyy omg madd fun havent minute whassqoodd,positive,1
29,Went sleep power cut Noida Power back working,negative,-1
30,I going home Have seen new twitter design Quite .... heavenly,positive,1
31,hope unni make audition fighting dahye unni,positive,1
32,If consolation I got BMI tested hahaha says I obesed well much unhappy 10 minutes,negative,-1
33,That funny Cute kids,positive,1
34,Ahhh I slept game I gon na try best watch tomorrow though I hope play Army,neutral,0
35,Thats end Tears Fears vs Eric Prydz DJ Hero http //bit.ly/2Hpbg4,neutral,0
36,Born raised NYC living Texas past 10 years I still miss NY,negative,-1
37,case wonder really busy today coming adding tons new blogs updates stay tuned,neutral,0
